%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.UTM_Easting,field.UTM_Northing,field.Zone,field.Letter
1644357261943390841,214,1644357261942539930,,42.340543333333336,-71.09710166666666,8.1,327248.4717876622,4689717.34950049,19,T
1644357262945241129,215,1644357262944504022,,42.34054666666667,-71.09709833333334,8.1,327248.7555159099,4689717.712869578,19,T
1644357263945374477,216,1644357263944531440,,42.34054833333333,-71.097095,8.1,327249.0346796685,4689717.891167862,19,T
1644357264950311644,217,1644357264949496984,,42.34055,-71.09709333333333,8.0,327249.176543772,4689718.072852416,19,T
1644357265967327396,218,1644357265966502428,,42.34055166666667,-71.09709,7.8,327249.45570750546,4689718.251150716,19,T
1644357266950326777,219,1644357266949568986,,42.34055333333333,-71.09708666666667,7.7,327249.7348712265,4689718.4294490265,19,T
1644357267968904774,220,1644357267968131303,,42.340555,-71.09708333333333,7.7,327250.0140349332,4689718.607747349,19,T
1644357268950741951,221,1644357268949917554,,42.340558333333334,-71.09708166666667,7.7,327250.16046342737,4689718.974502737,19,T
1644357269968564692,222,1644357269967800140,,42.340559999999996,-71.09707833333333,7.7,327250.43962709955,4689719.152801074,19,T
1644357270964368431,223,1644357270963565349,,42.340563333333336,-71.09707666666667,7.7,327250.5860555619,4689719.519556472,19,T
1644357271969277766,224,1644357271968487501,,42.340565,-71.09707333333333,7.7,327250.86521920393,4689719.697854824,19,T
1644357272950916566,225,1644357272950120210,,42.34056833333333,-71.09707,7.6,327251.1489472351,4689720.061224005,19,T
1644357273950690649,226,1644357273949874401,,42.34057166666667,-71.09706666666666,7.5,327251.43267523975,4689720.424593197,19,T
1644357274951743774,227,1644357274950854063,,42.34057333333333,-71.09706333333334,7.4,327251.7118388242,4689720.602891584,19,T
1644357275964033164,228,1644357275963156223,,42.340576666666664,-71.09706166666666,7.3,327251.85826719226,4689720.969647003,19,T
1644357276951109781,229,1644357276950318813,,42.34058,-71.09705833333334,7.3,327252.1419951257,4689721.333016223,19,T
1644357277968119708,230,1644357277967213392,,42.340583333333335,-71.097055,7.2,327252.4257230305,4689721.6963854525,19,T
1644357278950867181,231,1644357278950035572,,42.340585,-71.09705166666667,7.2,327252.7048865375,4689721.874683876,19,T
1644357279968948435,232,1644357279968125343,,42.34058666666667,-71.09704833333333,7.1,327252.9840500342,4689722.05298231,19,T
1644357280970153276,233,1644357280969301700,,42.340588333333336,-71.097045,7.0,327253.2632135123,4689722.231280754,19,T
1644357281950410488,234,1644357281949616670,,42.34059,-71.09704333333333,6.9,327253.40507742274,4689722.412965388,19,T
1644357282956685292,235,1644357282955910444,,42.34059333333333,-71.09704,6.9,327253.68880521815,4689722.776334667,19,T
